puzzle_index,agent_move_index,fen,rating,themes,expected_move_uci,legal_move_count,reference_top_move_uci,candidate_top_move_uci,top1_agreement,reference_correct,candidate_correct,reference_entropy,candidate_entropy,entropy_delta,reference_correct_probability,candidate_correct_probability,correct_probability_delta,kl_reference_to_candidate,js_divergence
4,0,2k1r3/pppn1pp1/3b2b1/3B2Pp/5P2/3P3P/PPPR4/2K3NR b - - 0 18,1511,backRankMate deflection long mate mateIn3 middlegame,e8e1,39,e8e1,e8e1,1,1,1,0.0861051974791863,0.08941348888664373,0.0033082914074574338,0.9848320923492025,0.9840071808495887,-0.000824911499613834,3.737352891711822e-05,9.41111268142719e-06
4,1,2k5/pppn1pp1/3b2b1/3B2Pp/5P2/3P3P/PPP5/2KRr1NR b - - 2 19,1511,backRankMate deflection long mate mateIn3 middlegame,d6f4,38,d6f4,d6f4,1,1,1,0.09536749055034567,0.08294658032576079,-0.012420910224584886,0.9856200251289975,0.9879021475450798,0.0022821224160822773,0.0005074280789005153,0.0001201393842896362
4,2,2k5/pppn1pp1/6b1/3B2Pp/5b2/3P3P/PPP5/1K1Rr1NR b - - 1 20,1511,backRankMate deflection long mate mateIn3 middlegame,e1d1,39,e1d1,e1d1,1,1,1,0.05997995393262148,0.05452604780784188,-0.005453906124779605,0.9925057370104683,0.993156187217811,0.0006504502073426677,0.00010439552488622718,2.43339516885575e-05
5,0,rn2kbnr/pp6/2p2p2/4P3/4P1pq/2N3N1/PPPB1KB1/R2Q1R2 b kq - 2 17,1067,advantage attraction exposedKing long middlegame,f8c5,33,h4g3,h4g3,1,0,0,0.7730743337433154,0.8051875332266291,0.032113199483313704,0.07886585527096159,0.09477607939669201,0.015910224125730427,0.0026898099447788884,0.0006812117715546504
5,1,rn2k1nr/pp6/2p2p2/2b1P3/4P1pq/2N1B1N1/PPP2KB1/R2Q1R2 b kq - 4 18,1067,advantage attraction exposedKing long middlegame,c5e3,32,h4g3,h4g3,1,0,0,0.09991899919396835,0.08650952058656228,-0.013409478607406072,0.007753881653974901,0.006733990723210952,-0.0010198909307639493,0.0003612709982982116,8.65537799521809e-05
5,2,rn2k1nr/pp6/2p2p2/4P3/4P1pq/2N1K1N1/PPP3B1/R2Q1R2 b kq - 0 19,1067,advantage attraction exposedKing long middlegame,h4g3,25,h4g3,h4g3,1,1,1,0.46798766548145987,0.4197459239751736,-0.048241741506286295,0.8502657178494682,0.8716123816131337,0.021346663763665452,0.0021089492608977276,0.0005121809160475578
6,0,5rk1/5ppp/4b3/1p1pPpPP/2pP4/b1P5/rqNQKP2/2RRN3 w - - 6 24,1693,advantage middlegame short trappedPiece,c1b1,19,c1b1,c1b1,1,1,1,0.8902839462113054,0.8755440432501058,-0.014739902961199536,0.712085451444495,0.7131239190175581,0.0010384675730631399,0.0005462068789510851,0.00013155031076411239
6,1,5rk1/5ppp/4b3/1p1pPpPP/2pP4/bqP5/r1NQKP2/1R1RN3 w - - 8 25,1693,advantage middlegame short trappedPiece,b1b3,23,b1b3,b1b3,1,1,1,0.6091578195992047,0.5627840615958117,-0.04637375800339294,0.8508424952232478,0.8654924032964744,0.014649908073226525,0.0014206215345208212,0.00034601916946335994
7,0,r3r1k1/p2Q1p1p/1p2p1p1/8/1P1P4/P3P3/1B2Nb1q/2KR3R b - - 1 19,1548,advantage discoveredAttack middlegame short,f2e3,38,f2e3,f2e3,1,1,1,0.6089160716768754,0.6586886846195924,0.049772612942716954,0.8647278195774535,0.8518744745270116,-0.012853345050441889,0.0014129069950937954,0.00036549960990657417
7,1,r3r1k1/p2Q1p1p/1p2p1p1/8/1P1P4/P3b3/1B2N2q/1K1R3R b - - 1 20,1548,advantage discoveredAttack middlegame short,h2e2,43,h2e2,h2e2,1,1,1,1.6273723336337538,1.5338849655102986,-0.09348736812345515,0.5538674355719478,0.5981745204430278,0.04430708487107993,0.0069603592304670345,0.0016967658166416903
8,0,3r4/p5k1/1p1qpr1p/1Q1pn1p1/3P1pP1/1PP5/P5PP/4RRK1 w - - 0 30,1316,crushing fork long middlegame,d4e5,34,d4e5,d4e5,1,1,1,0.41847594279475653,0.41278823930670383,-0.005687703488052698,0.8655744664748256,0.8677058100030136,0.002131343528188001,3.794043057610783e-05,9.282194322196345e-06
8,1,3r4/p5k1/1p2pr1p/1QqpP1p1/5pP1/1PP5/P5PP/4RRK1 w - - 1 31,1316,crushing fork long middlegame,b5c5,4,b5c5,b5c5,1,1,1,0.014843531538021688,0.013907503173205313,-0.0009360283648163752,0.9979664108933793,0.9981126872833528,0.00014627638997344317,5.7490926917341866e-06,1.416340891195461e-06
8,2,3r4/p5k1/4pr1p/2ppP1p1/5pP1/1PP5/P5PP/4RRK1 w - - 0 32,1316,crushing fork long middlegame,e5f6,20,e5f6,e5f6,1,1,1,0.0007813712975617564,0.0005752796636341208,-0.00020609163392763558,0.9999372937562979,0.9999546842695145,1.7390513216586356e-05,3.5195533768287705e-06,8.147930615078e-07
9,0,8/1P6/8/7p/3P4/3k1p1P/4p3/4K3 b - - 1 49,1828,advancedPawn endgame mate mateIn2 pawnEndgame short,d3e3,8,f3f2,f3f2,1,0,0,0.43050124630115616,0.4557365143146556,0.025235268013499457,0.03839202582398746,0.038933552280627746,0.0005415264566402886,0.0005944258956389352,0.00015166523474822552
9,1,8/1P6/8/7p/3P3P/4kp2/4p3/4K3 b - - 0 50,1828,advancedPawn endgame mate mateIn2 pawnEndgame short,f3f2,5,f3f2,f3f2,1,1,1,0.008929567516077916,0.009228365404173995,0.00029879788809607927,0.9989132550780808,0.9988756735792091,-3.7581498871674945e-05,1.1881113758625285e-06,3.0206781952777467e-07
10,0,8/2kn1p2/8/3P4/R7/2PKN3/1r6/8 b - - 14 70,994,advantage endgame fork short,d7c5,28,d7c5,d7c5,1,1,1,0.4626730089494392,0.5358914816019709,0.07321847265253167,0.842239172645637,0.7937638313309137,-0.04847534131472331,0.007902655211286807,0.002044513201352259
10,1,8/2k2p2/8/2nP4/R2K4/2P1N3/1r6/8 b - - 16 71,994,advantage endgame fork short,c5a4,31,c5a4,c5a4,1,1,1,0.754465926213274,0.6492252469298007,-0.10524067928347336,0.8413305777464455,0.8706045932653637,0.029274015518918173,0.004886088961943631,0.0011578328532152022
11,0,3r1q2/5prk/p3pQpp/1p2P3/2p4R/2P2P1P/PPB2P2/6K1 w - - 3 30,1781,clearance crushing endgame short,h4h6,33,h4h6,h4h6,1,1,1,0.8140400618998034,0.8438725367575503,0.02983247485774687,0.7470085710955912,0.7076505775517029,-0.03935799354388825,0.005968725209299142,0.0015233475711926882
11,1,3r1qk1/5pr1/p3pQpR/1p2P3/2p5/2P2P1P/PPB2P2/6K1 w - - 1 31,1781,clearance crushing endgame short,f6h4,33,h6h8,h6h8,1,0,0,0.015686599994555895,0.013156708420372554,-0.002529891574183341,6.326979659991315e-06,3.721902518071244e-06,-2.6050771419200707e-06,3.591660599091081e-05,8.600621001586287e-06
12,0,r5k1/pp2q1p1/2p1p2p/3nP1pP/3P2P1/2PQ1r2/PPB5/R5K1 w - - 0 24,1454,kingsideAttack long mate mateIn3 middlegame,d3h7,30,d3h7,d3h7,1,1,1,0.16858775746337215,0.14626971900799962,-0.02231803845537253,0.9676393704766194,0.9730904429281122,0.005451072451492789,0.0006781380252741673,0.0001625544543580981
12,1,r7/pp2qkpQ/2p1p2p/3nP1pP/3P2P1/2P2r2/PPB5/R5K1 w - - 2 25,1454,kingsideAttack long mate mateIn3 middlegame,c2g6,29,c2g6,c2g6,1,1,1,0.21458641706016132,0.2101952298151325,-0.004391187245028821,0.9449099174030929,0.9464162260466105,0.0015063086435175288,2.290977316663975e-05,5.695437767842179e-06
12,2,r4k2/pp2q1pQ/2p1p1Bp/3nP1pP/3P2P1/2P2r2/PP6/R5K1 w - - 4 26,1454,kingsideAttack long mate mateIn3 middlegame,h7h8,24,h7h8,h7h8,1,1,1,0.003080184770932655,0.0023617087777504644,-0.0007184759931821907,0.9997144420738014,0.999786614218326,7.217214452459597e-05,1.3609532066927725e-05,3.1672063598164964e-06
13,0,r1b1k1nr/pp2p2p/2q1Npp1/2n1p3/2B5/2N3B1/PPPR1PPP/2K4R w kq - 0 15,1990,mate mateIn2 middlegame short,d2d8,47,d2d8,d2d8,1,1,1,0.9733377368255063,0.7671183112809431,-0.20621942554456318,0.6688768421675663,0.7843481539980635,0.11547131183049719,0.03824446235356264,0.008999868680731004
13,1,r1bR2nr/pp2pk1p/2q1Npp1/2n1p3/2B5/2N3B1/PPP2PPP/2K4R w - - 2 16,1990,mate mateIn2 middlegame short,d8f8,50,d8f8,d8f8,1,1,1,1.3148870608596708,1.318501213410851,0.0036141525511801387,0.6181839095421267,0.5323293331224352,-0.08585457641969141,0.032506517469961714,0.0084118669221321
14,0,Q7/8/8/5k2/8/5pr1/5r2/R6K b - - 0 50,1219,endgame exposedKing long master mate mateIn3 queenRookEndgame,g3h3,23,f2h2,f2h2,1,0,0,1.2151218528793335,1.207243690204076,-0.007878162675257538,0.05622635447454126,0.045211225051417774,-0.011015129423123486,0.005107649277619038,0.0012825432254047848
14,1,Q7/8/8/5k2/8/5p1r/5r2/R5K1 b - - 2 51,1219,endgame exposedKing long master mate mateIn3 queenRookEndgame,f2g2,23,f2g2,f2g2,1,1,1,0.7726223100087714,0.9063620286259949,0.13373971861722356,0.7883503582926883,0.7316624634976526,-0.056687894795035665,0.011978615452777857,0.0031580608710035435
14,2,Q7/8/8/5k2/8/5p1r/6r1/R4K2 b - - 4 52,1219,endgame exposedKing long master mate mateIn3 queenRookEndgame,h3h1,30,h3h1,h3h1,1,1,1,0.7244421948681014,0.7600623586350227,0.03562016376692134,0.7167147007647809,0.6893067377347132,-0.02740796303006776,0.00215353125225982,0.0005451479577545429
15,0,4R3/1p4k1/1q3bpp/3B4/4Np1P/p4P2/3RK1P1/8 b - - 5 42,1975,crushing endgame fork master short,b6b5,31,b6b5,b6b5,1,1,1,1.1717034922493932,1.1186138835164166,-0.053089608732976634,0.4873303572709453,0.5830341903898054,0.0957038331188601,0.021062403514704873,0.0051892404517456464
15,1,4R3/1p4k1/5bpp/1q1B4/4Np1P/p2R1P2/4K1P1/8 b - - 7 43,1975,crushing endgame fork master short,b5e8,29,b5e8,b5e8,1,1,1,0.22226879721553525,0.16101903824149105,-0.061249758974044194,0.9563995662728265,0.9704858703082305,0.014086304035404007,0.0030877083324694563,0.0007200376198584699
16,0,4rk2/pbp2pp1/1p1N4/3P1q2/QPBP4/1KP2P2/P5r1/R3R3 b - - 0 25,1225,mate mateIn2 middlegame short,f5c2,56,c7d6,c7d6,1,0,0,2.463790491542409,2.4090772106535843,-0.054713280888824656,0.0030982460103977233,0.0024637159420046175,-0.0006345300683931058,0.004538156975404002,0.0011281385497977602
16,1,4rk2/pbp2pp1/1p1N4/3P4/QPBP4/K1P2P2/P1q3r1/R3R3 b - - 2 26,1225,mate mateIn2 middlegame short,c2b2,52,c2a4,c2a4,1,0,0,1.4637848745954507,1.3655596937548404,-0.09822518084061027,0.04079429236649065,0.03113664523933934,-0.009657647127151312,0.0036551576104323293,0.0008832222952929001
17,0,r4k2/8/2p3Bb/4p1R1/3q4/PQ6/2K2P2/1N6 b - - 0 30,1689,advantage intermezzo long middlegame,d4f2,37,d4f2,d4f2,1,1,1,1.5539104578862561,1.5640275571854378,0.010117099299181698,0.44657823981160394,0.44085264144855085,-0.005725598363053086,0.0009503341649400586,0.00023877024138296686
17,1,r4k2/8/2p3Bb/4p1R1/8/PQ6/2KN1q2/8 b - - 1 31,1689,advantage intermezzo long middlegame,h6g5,34,h6g5,h6g5,1,1,1,2.267487267927177,2.2240419837013667,-0.04344528422581018,0.2306968085831905,0.22980279813930418,-0.0008940104438863172,0.0071583486511595665,0.0017996122213580262
17,2,r4k2/8/2p3B1/4p1b1/8/P4Q2/2KN1q2/8 b - - 1 32,1689,advantage intermezzo long middlegame,f2f3,6,f2f3,f2f3,1,1,1,0.06102067335675511,0.04560929658811501,-0.0154113767686401,0.9900922300823417,0.9931797355172659,0.003087505434924198,0.0007123294081029779,0.00016504753699471105
18,0,r3r1k1/ppp2ppp/2nnq3/8/3P4/P1P1P1P1/2Q3BP/R1B1KR2 w Q - 5 17,1362,crushing fork middlegame short,d4d5,43,d4d5,d4d5,1,1,1,0.407071996855805,0.3702610894704612,-0.03681090738534376,0.9052839413354862,0.9179318186054164,0.012647877269930219,0.00129004648019348,0.0003139755327777262
18,1,r3r1k1/ppp2ppp/2nn4/3Pq3/8/P1P1P1P1/2Q3BP/R1B1KR2 w Q - 1 18,1362,crushing fork middlegame short,d5c6,41,d5c6,d5c6,1,1,1,1.5585292775886999,1.4974237505841004,-0.06110552700459948,0.5588609612838991,0.5595635932757828,0.0007026319918836954,0.006800436519689205,0.001682913739175538
19,0,3r2k1/1p3p2/p1n2P2/2P3P1/1PR1p3/P2pP3/3B4/6K1 b - - 1 33,1149,advantage endgame exposedKing fork long,c6e5,22,c6e5,c6e5,1,1,1,0.18384725606677302,0.15087020739944085,-0.03297704866733217,0.9710252645748099,0.9771860744098906,0.006160809835080716,0.0009166045464760169,0.00021784232583676327
19,1,3r2k1/1p3p2/p4P2/2P1n1P1/1P2R3/P2pP3/3B4/6K1 b - - 0 34,1149,advantage endgame exposedKing fork long,e5f3,21,e5f3,e5f3,1,1,1,0.007009601821705177,0.006272513918258046,-0.0007370879034471305,0.999302806397283,0.9993814183586808,7.861196139780091e-05,6.401732445633785e-06,1.5469565056832768e-06
19,2,3r2k1/1p3p2/p4P2/2P3P1/1P2R3/P2pPn2/3B1K2/8 b - - 2 35,1149,advantage endgame exposedKing fork long,f3d2,23,f3d2,f3d2,1,1,1,0.003919565488469358,0.0040715652164789356,0.00015199972800957785,0.9996113739635228,0.9995946590125625,-1.671495096033926e-05,1.094487668834725e-06,2.7388093173774807e-07
20,0,6k1/1b3pbp/6p1/1N4q1/1Q1p4/P7/5PPP/2r1RBK1 w - - 1 28,1383,master mate mateIn2 middlegame short,e1e8,38,e1e8,e1e8,1,1,1,0.05326673919248099,0.04037128350427963,-0.012895455688201357,0.9928193651640674,0.9947864572878719,0.0019670921238044148,0.00039153851597937444,9.106714752877246e-05
20,1,4Rbk1/1b3p1p/6p1/1N4q1/1Q1p4/P7/5PPP/2r2BK1 w - - 3 29,1383,master mate mateIn2 middlegame short,b4f8,39,b4f8,b4f8,1,1,1,0.20260994467986732,0.20624120287926995,0.0036312581994026316,0.9518204454853925,0.9501953090372256,-0.001625136448166864,7.842990826952695e-05,1.9149392943193164e-05
21,0,8/n7/P7/K2k4/P7/7P/5PP1/8 b - - 1 53,1670,endgame knightEndgame mate mateIn2 short,d5c5,11,d5c6,a7c6,0,0,0,1.6347896908976978,1.5858202703983877,-0.04896942049931008,0.1136734308690121,0.10946016823270709,-0.004213262636305018,0.010164328997329636,0.0025652818124927575
21,1,8/n7/P7/K1k5/P7/5P1P/6P1/8 b - - 0 54,1670,endgame knightEndgame mate mateIn2 short,a7c6,8,a7c6,a7c6,1,1,1,0.9540226131373195,0.8397548530786186,-0.11426776005870087,0.7471779444628911,0.7870640656218676,0.039886121158976495,0.006077269837045811,0.0014647016649336434
22,0,8/3r1ppp/4p3/k3P3/pR2R2P/2P5/3r1PP1/2K5 b - - 5 31,980,endgame exposedKing long mate mateIn3 rookEndgame,d2d1,27,d2d1,d2d1,1,1,1,1.7769882315759118,1.788654113814335,0.011665882238423242,0.5074624342201866,0.49417033505745633,-0.01329209916273022,0.004268126184166358,0.001065600775851158
22,1,8/3r1ppp/4p3/k3P3/pR2R2P/2P5/1K3PP1/3r4 b - - 7 32,980,endgame exposedKing long mate mateIn3 rookEndgame,d7d2,30,d7d2,d7d2,1,1,1,0.22684749566852147,0.23403740158240124,0.007189905913879774,0.9528487771742757,0.9513220779081654,-0.0015266992661103762,9.698933347467768e-05,2.4875162805683287e-05
22,2,8/5ppp/4p3/k3P3/pR2R2P/K1P5/3r1PP1/3r4 b - - 9 33,980,endgame exposedKing long mate mateIn3 rookEndgame,d1a1,25,d1a1,d1a1,1,1,1,2.012758732528255,2.0426205500058243,0.029861817477569108,0.3247908282223818,0.29517124495606467,-0.02961958326631714,0.0033025129561659134,0.0008255254549691351
23,0,r4k2/ppp3p1/3p3r/2q5/1PNnP3/2Q2PBp/P4R1P/5RK1 b - - 0 25,1948,advantage deflection discoveredAttack long middlegame pin,d4e2,42,d4e2,d4e2,1,1,1,0.0749503168522312,0.07646653274914457,0.0015162158969133643,0.9886765542279073,0.9882568071756217,-0.00041974705228564613,3.432631124598368e-05,8.621390744432674e-06
23,1,r4k2/ppp3p1/3p3r/2q5/1PN1P3/2Q2PBp/P3nR1P/5R1K b - - 2 26,1948,advantage deflection discoveredAttack long middlegame pin,c5f2,43,e2c3,e2c3,1,0,0,0.0393055905248458,0.03266219281818176,-0.006643397706664042,6.169425132333598e-06,4.586711482313607e-06,-1.5827136500199911e-06,0.00014826805303069898,3.568560763942851e-05
23,2,r4k2/ppp3Q1/3p3r/8/1PN1P3/5PBp/P3nq1P/5R1K b - - 0 27,1948,advantage deflection discoveredAttack long middlegame pin,f8g7,2,f8g7,f8g7,1,1,1,0.5332032463644432,0.48283787967485226,-0.05036536668959091,0.774968135729907,0.8123224023676634,0.03735426663775643,0.004365048563515585,0.0010661780481770067
24,0,5rk1/pp1n1r2/3p2N1/2pQ4/2P5/4P1P1/qP2KPP1/7R w - - 2 25,1835,mate mateIn2 middlegame pin short,g6e7,45,h1h8,h1h8,1,0,0,0.40117461506876956,0.3786125579942425,-0.022562057074527075,0.07906726552142834,0.07390083478034506,-0.005166430741083278,0.00044820023133243406,0.00010833421849079366
24,1,5r2/pp1nNrk1/3p4/2pQ4/2P5/4P1P1/qP2KPP1/7R w - - 4 26,1835,mate mateIn2 middlegame pin short,d5g5,44,d5g5,d5g5,1,1,1,0.2670601894281335,0.24957494878924663,-0.017485240638886845,0.9349243864709845,0.9394056543839074,0.004481267912922915,0.00027386297205464575,6.580548037605591e-05
25,0,4r1k1/p1R1n2p/4N3/5r2/6K1/6PP/P3R3/8 b - - 4 46,1196,endgame mate mateIn2 short,h7h5,29,h7h5,h7h5,1,1,1,1.0338390252123255,0.9567246201031331,-0.07711440510919243,0.7325853950368294,0.7579497958012404,0.025364400764411044,0.0020976739965085987,0.0005128991624589352
25,1,4r1k1/p1R1n3/4N3/5r1p/7K/6PP/P3R3/8 b - - 1 47,1196,endgame mate mateIn2 short,e7g6,27,e7g6,e7g6,1,1,1,0.9821001428365768,0.9506050099577475,-0.03149513287882921,0.5511194857325683,0.5474366912244599,-0.003682794508108378,0.0013353792839395683,0.0003237418080594332
26,0,4k3/1R6/6N1/5p1p/7P/2r3PK/5b2/8 b - - 0 47,1198,crushing endgame fork short,c3g3,23,f2g3,f2g3,1,0,0,1.05885451545568,1.1008278717670725,0.04197335631139243,0.367739285247713,0.35526111161561497,-0.012478173632098022,0.0017511192350988037,0.0004573514188177928
26,1,4k3/1R6/6N1/5p1p/7P/6r1/5b1K/8 b - - 1 48,1198,crushing endgame fork short,g3g6,21,g3g6,g3g6,1,1,1,0.36244975205702273,0.24684047510747895,-0.11560927694954379,0.9231060377499253,0.9528082292089343,0.029702191459008986,0.009305028325695885,0.0021008597024225017
27,0,r5k1/ppp4p/2P3r1/8/4P3/B1P5/P1Q1K3/6N1 b - - 0 31,2090,advantage endgame exposedKing fork long,g6g2,26,g6g2,g6g2,1,1,1,0.6515731022730717,0.6255868818364585,-0.02598622043661325,0.7688564949032394,0.785935008555129,0.017078513651889615,0.0009067311376072606,0.00022432818149562564
27,1,r5k1/ppp4p/2P5/8/4P3/B1PK4/P1Q3r1/6N1 b - - 2 32,2090,advantage endgame exposedKing fork long,a8d8,26,a8d8,a8d8,1,1,1,0.956659388932629,0.7738455496613871,-0.18281383927124195,0.5714829202243897,0.7148606065799593,0.14337768635556958,0.04770385344584734,0.011462464046429727
27,2,3r2k1/ppp4p/2P5/8/2K1P3/B1P5/P1Q3r1/6N1 b - - 4 33,2090,advantage endgame exposedKing fork long,g2c2,33,g2c2,g2c2,1,1,1,0.7473895900852878,0.8145567668176463,0.0671671767323585,0.7693473810710697,0.7312184826122111,-0.038128898458858584,0.004117843351561801,0.0010478564360794757
28,0,6nr/1pN2ppp/p2Qbk2/4p3/3Bq3/8/PP2BPPP/5K1R b - - 0 19,967,mate mateIn2 middlegame short,e4b1,28,e4b1,e4b1,1,1,1,0.47685334122003503,0.5106894965023046,0.03383615528226952,0.880658371054657,0.8688713873368191,-0.011786983717837929,0.0008643127404366912,0.00022128919754689264
28,1,6nr/1pN2ppp/p2Qbk2/4p3/3B4/8/PP3PPP/1q1B1K1R b - - 2 20,967,mate mateIn2 middlegame short,b1d1,23,b1d1,b1d1,1,1,1,0.06863511703761127,0.07153740912341465,0.002902292085803379,0.9887775834715004,0.9882754023691637,-0.0005021811023366851,2.6190917669044315e-05,6.6332538152952e-06
29,0,2k3rB/ppp2p1p/2np4/8/4P3/2NB1b2/PPP2PPP/R4RK1 b - - 0 13,1456,discoveredAttack discoveredCheck kingsideAttack mate mateIn2 middlegame morphysMate short,g8g2,35,g8g2,g8g2,1,1,1,0.4836297897598598,0.5585175184873483,0.0748877287274885,0.8828994144145407,0.8578182693615305,-0.02508114505301018,0.00352771672554396,0.0009208011128800271
29,1,2k4B/ppp2p1p/2np4/8/4P3/2NB1b2/PPP2PrP/R4R1K b - - 1 14,1456,discoveredAttack discoveredCheck kingsideAttack mate mateIn2 middlegame morphysMate short,g2g4,33,g2g1,g2g1,1,0,0,2.370123917440008,2.373257024189036,0.003133106749027892,0.13404453390297047,0.13305298412648986,-0.0009915497764806103,0.004951402475705635,0.0012440377741220713
30,0,8/2R2ppp/4p3/p6k/6R1/4P2P/3q1PP1/6K1 b - - 3 33,1569,crushing endgame fork long queenRookEndgame,d2d1,25,d2e1,d2e1,1,0,0,0.8845864790590896,0.8982093276642598,0.013622848605170157,0.38548316000036537,0.4641509045546973,0.07866774455433195,0.012999248867633024,0.003268304430525442
30,1,8/2R2ppp/4p3/p6k/6R1/4P2P/5PPK/3q4 b - - 5 34,1569,crushing endgame fork long queenRookEndgame,d1d6,28,d1g4,d1g4,1,0,0,0.23544433122082248,0.235336727960118,-0.00010760326070446968,0.01935756922722289,0.02063208771163715,0.0012745184844142575,0.00022660151851572688,5.587903590225869e-05
30,2,8/2R2ppp/3qp3/p6k/6R1/4P1PP/5P1K/8 b - - 0 35,1569,crushing endgame fork long queenRookEndgame,d6c7,27,d6c7,d6c7,1,1,1,0.20807266573999042,0.15605696574830719,-0.052015699991683234,0.9688843280842961,0.9777801258367325,0.008895797752436319,0.001765764931963956,0.0004125956644226839
31,0,1k4r1/pp3p2/4p3/2N1q3/1P1bp3/P3P3/5P2/2RR1K2 w - - 2 28,885,advantage endgame fork short,c5d7,24,c5d7,c5d7,1,1,1,0.02380882985936581,0.018616158393343938,-0.005192671466021873,0.9967349083800443,0.9975477116513881,0.0008128032713438094,0.00012322229228826673,2.928640483378399e-05
31,1,k5r1/pp1N1p2/4p3/4q3/1P1bp3/P3P3/5P2/2RR1K2 w - - 4 29,885,advantage endgame fork short,d7e5,26,d7e5,d7e5,1,1,1,0.8149837358337572,0.762823561378828,-0.052160174454929153,0.7205484345902264,0.7442863649989354,0.023737930408708974,0.0027265305639160593,0.0006600407341244204
32,0,r2qk2r/2pn1p1n/pp1p2Bp/3Pp1b1/PPP1P3/2N1B3/3N2PP/R2Q1RK1 b kq - 0 17,1463,advantage hangingPiece intermezzo middlegame short,g5e3,29,g5e3,g5e3,1,1,1,0.005315367773983835,0.0053021130596297445,-1.3254714354090508e-05,0.9994681821029089,0.9994600349716016,-8.14713130725675e-06,5.1981983032497374e-06,1.2862843394869911e-06
